id|name|sub_category|description|category
ACSKL|Reason for taking courses during reference week: gain further skills in field|Current Enrollment|ACSKL indicates whether the reason that the respondent was enrolled in classes in the reference week was to gain further skills in his/her field.  The survey question from which ACSKL was derived asks the respondent to mark all reasons why he/she was taking courses or enrolled in a degree program.  Related variables include ACADV, ACCAR, ACCHG, ACEM, ACGRD, ACINT, ACLIC, ACOT, and ACOTP.|Education
TCEM|Reasons for taking courses: expected/required by employer|Current Enrollment|TCEM indicates whether or not the respondent took college courses after his/her most recent degree because his/her employer expected or required them.|Education
TCGRD|Reasons for taking courses: prepare for graduate school|Current Enrollment|TCGRD indicates whether or not the respondent took college courses after his/her most recent degree in order to prepare for graduate school.|Education
NCBRK|Reasons for not taking courses: needed break|Current Enrollment|NCBRK indicates whether or not the respondent was not taking courses because he/she needed a break. Other variables from this survey question include NCCHG, NCFAM, NCFIN, NCGOAL, NCJOB, NCMOVE, NCTERM, and NCOT.|Education
NCCHG|Reasons for not taking courses: no longer certain of field|Current Enrollment|NCCHG indicates whether or not the respondent was not taking courses because he/she was no longer certain of the field of study he/she wanted to pursue. Other variables from this survey question include NCBRK, NCFAM, NCFIN, NCGOAL, NCJOB, NCMOVE, NCTERM, and NCOT.|Education
NCFAM|Reasons for not taking courses: family|Current Enrollment|NCFAM indicates whether or not the respondent was not taking courses because of family reasons. Other variables from this survey question include NCBRK, NCCHG, NCFIN, NCGOAL, NCJOB, NCMOVE, NCTERM, and NCOT.|Education
NCFIN|Reasons for not taking courses: financial reasons|Current Enrollment|NCFIN indicates whether or not the respondent was not taking courses because of financial reasons. Other variables from this survey question include NCBRK, NCCHG, NCFAM, NCGOAL, NCJOB, NCMOVE, NCTERM, and NCOT.|Education
NCGOAL|Reasons for not taking courses: achieved educational goals|Current Enrollment|NCGOAL indicates whether or not the respondent was not taking courses because he/she had achieved his/her education goals. Other variables from this survey question include NCBRK, NCCHG, NCFAM, NCFIN, NCJOB, NCMOVE, NCTERM, and NCOT.|Education
NCJOB|Reasons for not taking courses: job|Current Enrollment|NCJOB indicates whether or not the respondent was not taking courses because he/she had a job and/or needed to work. Other variables from this survey question include NCBRK, NCCHG, NCFAM, NCGOAL, NCFIN, NCMOVE, NCTERM, and NCOT.|Education
NCMOVE|Reasons for not taking courses: moved|Current Enrollment|NCMOVE indicates whether or not the respondent was not taking courses because he/she moved and was then unable to continue taking courses at the academic institution he/she had been attending. Other variables from this survey question include NCBRK, NCCHG, NCFAM, NCGOAL, NCFIN, NCJOB, NCTERM, and NCOT.|Education
NCTERM|Reasons for not taking courses: waiting for next school term|Current Enrollment|NCTERM indicates whether or not the respondent was not taking courses because he/she was waiting for next school term to begin. Other variables from this survey question include NCBRK, NCCHG, NCFAM, NCGOAL, NCFIN, NCJOB, NCMOVE, and NCOT.|Education
NCOT|Reasons for not taking courses: other|Current Enrollment|NCOT indicates whether or not the respondent was not taking courses for a reason other than the reasons listed in the questionnaire. Other variables from this survey question include NCBRK, NCCHG, NCFAM, NCGOAL, NCFIN, NCJOB, NCMOVE, NCTERM.|Education
ACCCEP|School-related costs paid by employer|Current Enrollment|ACCCEP indicates that any of the respondent's school-related costs were covered by his/her employer.|Education
FAAST|Sources of financial support for courses since college: assistantships/work study|Current Enrollment|FAAST indicates whether or not the respondent relied on assistantship or work study as financial support for taking courses after receiving his/her most recent degree.  Related variables describing sources of financial support include FAEM, FAERN, FAGFT, FAGRN, FALN, FAOT, and FAPLN.|Education
FAEM|Sources of financial support for courses since college: employer|Current Enrollment|FAEM reports whether or not the respondent relied on financial support from his/her employer in order to take courses since completing a college degree.  Related variables about financial support while taking courses after college include FAAST, FAERN, FAGFT, FAGRN, FALN, FAOT, and FAPLN.|Education
FAERN|Sources of financial support for courses since college: earnings from employment|Current Enrollment|FAERN reports whether or not the respondent relied earnings from employment as a way to finance enrollment in courses since completing a college degree.  Related variables about financial support while taking courses after college include FAAST, FAEM, FAGFT, FAGRN, FALN, FAOT, and FAPLN.|Education
FAGFT|Sources of financial support for courses since college: gifts parents/relatives|Current Enrollment|FAGFT reports whether or not the respondent relied on financial support from his/her parents (without the expectation of repayment) in order to take courses since completing a college degree.  Related variables about financial support while taking courses after college include FAAST, FAEM, FAERN, FAGRN, FALN, FAOT, and FAPLN.|Education
FAGRN|Sources of financial support for courses since college: grants/scholarships/etc.|Current Enrollment|FAGRN reports whether or not the respondent relied on financial support from grants, scholarships, fellowships, or tuition waivers in order to take courses since completing a college degree.  Related variables about financial support while taking courses after college include FAAST, FAEM, FAERN, FAGFT, FALN, FAOT, and FAPLN.|Education
FALN|Sources of financial support for courses since college: loans from institution|Current Enrollment|FALN reports whether or not the respondent relied on financial support in the form of loans from a bank, government, or the academic institution in order to take courses since completing a college degree.  Related variables about financial support while taking courses after college include FAAST, FAEM, FAERN, FAGFT, FAGRN, FAOT, and FAPLN.|Education
FAOT|Sources of financial support for courses since college: other|Current Enrollment|FAOT reports whether or not the respondent relied on a source of financial support other than the options listed on the questionnaire in order to take courses since completing a college degree.  Related variables about financial support while taking courses after college include FAAST, FAEM, FAERN, FAGFT, FAGRN, FALN, and FAPLN.|Education
FAPLN|Sources of financial support for courses since college: loans from parents/relatives|Current Enrollment|FAPLN reports whether or not the respondent relied on loans from parents as financial support in order to take courses since completing a college degree.  Related variables about financial support while taking courses after college include FAAST, FAEM, FAERN, FAGFT, FAGRN, FALN, and FAOT.|Education
HSYRGR|Year received high school diploma (group)|High School|HSYRGR reports the year the respondent received his/her high school diploma, in 5-year intervals.|Education
HSUS|Place attended high school (recode)|High School|HSUS is a recode indicating whether or not the respondent's high school was located within the United States.|Education
HSNOI|No high school diploma (did not finish high school)|High School|HSNOI is an indicator variable that reports whether or not the respondent has a high school diploma.  The response categories are somewhat counter-intuitive.  The No category means that the respondent did finish high school, and a Yes response means that the respondent did not finish high school, and therefore has no high school diploma.|Education
LFSTAT|Labor force status|Employment|LFSTAT is the respondent's labor force status.|Employment
WRKG|Working for pay during reference week|Employment|WRKG indicates whether or not the respondent was working for pay during the survey reference week.|Employment
FPTIND|Full-time/part-time status|Employment|FPTIND  indicates whether or not a respondent was working full time or part-time, if he/she was working during the reference week.|Employment
WRKGP|Working both current and previous reference weeks|Employment|WRKGP indicates that the respondent was working for pay both during the current survey's reference period, and during the reference period of the previous survey, typically 2 or 3 years earlier.|Employment
EMSMI|Employment status, current and previous reference weeks|Employment|If the respondent worked during both the reference week and during the same week two years prior, he/she was asked if he/she worked for the same employer and in the same job. EMSMI describes all combinations of the respondent working for the same or a different employer, or the same or a different job.|Employment
EXPFT|Full-time, years of professional work experience|Employment|EXPFT gives the respondent's years of full-time, professional work experience.|Employment
EXPPT|Part-time, years of professional work experience|Employment|EXPPT gives the respondent's years of part-time, professional work experience.|Employment
HRSWK|Principal job hours worked|Employment|HRSWK reports the number of hours a week that the respondent worked at his/her principal job.  HRSWKGR is a similar variable that is gives hours per week worked in hour groups.|Employment
HRSWKGR|Principal job: hours per week typically worked (group)|Employment|HRSWKGR reports the typical hours per week that the respondent works at his/her principal job categorized into four groups.  The variable HRSWK also provides this information for SESTAT samples prior to 2000, however, HRSWK is not intervalled.|Employment
WKSWKGR|Principal job weeks salary based on year (group)|Employment|WKSWKGR reports the interval number of weeks the basic annual salary of the respondent's principal job was based on during a 52-week year, including sick leave and paid vacation.|Employment
JOBINS|Available benefits: health insurance|Employment|JOBINS indicates whether or not the respondent's job provides health insurance. Related variables include JOBPENS, JOBPROFT, and JOBVAC.|Employment
JOBPENS|Available benefits: pension/retirement plan|Employment|JOBPENS indicates whether or not the respondent's job provides a pension or retirement plan. Related variables include JOBINS, JOBPROFT, and JOBVAC.|Employment
JOBPROFT|Available benefits: profit-sharing plan|Employment|JOBPROFT indicates whether or not the respondent's job had a profit-sharing plan. Related variables include JOBPENS, JOBINS,  JOBVAC.|Employment
JOBVAC|Available benefits: paid vacation/sick/personal days|Employment|JOBVAC indicates whether or not the respondent's provides paid vacation, sick, and/or personal days.  Related variables include JOBPENS, JOBINS, and JOBPROFT.|Employment
LOOKWK|Not working, looking for work|Employment|If the respondent was not working during the reference week, LOOKWK indicates whether or not he/she was looking for work in the four weeks preceding the reference week.|Employment
FINDNO|Have not found new job|Employment|FINDNO indicates whether or not the respondent, who was actively searching for a job, had not found another job at the time of the survey after losing or leaving a job.|Employment
FINDTIME|Months to find new job|Employment|FINDTIME reports the number of months of active searching passed before the respondent found another job after losing or leaving a job.|Employment
WORKWANT|Preferred type of working arrangement|Employment|WORKWANT describes the type of work arrangement the respondent preferred, regardless of the type of work arrangement he/she had at the time of the survey.|Employment
LOSEJOB|Concerned about losing job|Employment|LOSEJOB indicates whether or not the respondent was concerned about losing his/her job in the next 12 months.|Employment
LOSEYR|Year, left/lost job|Employment|LOSEYR reports the year the respondent lost or left his/her job (referring to the most recent job lost or left since his/her first bachelor's degree) in 5-year intervals.|Employment
LOSECLOS|Reasons for losing/leaving job: company closed down|Employment|If a respondent lost or left a job (as indicated by DOWNSIZE) since his/her first bachelor's degree, LOSECLOS reports whether or not the respondent's company, facility, or agency closed down and caused the loss of the job.  LOSECLOS is among a series of variables regarding the reason for the respondent losing his/her job, which also includes LOSEMOVE, LOSEOTHR, LOSEREOR, LOSEREV, LOSESELF, and LOSETAKE.|Employment
LOSEMOVE|Reasons for losing/leaving job: company moved|Employment|If a respondent lost or left a job (as indicated by DOWNSIZE) since his/her first bachelor's degree, LOSEMOVE reports whether or not the respondent's company, facility, or agency moved and caused the loss of the job.  LOSEMOVE is among a series of variables regarding the reason for the respondent losing his/her job, which also includes LOSECLOS, LOSEOTHR, LOSEREOR, LOSEREV, LOSESELF, and LOSETAKE.|Employment
LOSEOTHR|Reasons for losing/leaving job: other|Employment|If a respondent lost or left a job (as indicated by DOWNSIZE) since his/her first bachelor's degree, LOSEOTHR reports whether or not a reason other than those listed on the questionnaire caused the respondent to lose his/her job.  LOSEOTHR is among a series of variables regarding the reason for the respondent losing his/her job, which also includes LOSECLOS, LOSEMOVE, LOSEREOR, LOSEREV, LOSESELF, and LOSETAKE.|Employment
LOSEREOR|Reasons for losing/leaving job: work reorganized/restructured|Employment|If a respondent lost or left a job (as indicated by DOWNSIZE) since his/her first bachelor's degree, LOSEREOR reports whether or not his/her company's reorganization or restructure caused the loss of the job.  LOSEREOR is among a series of variables regarding the reason for the respondent losing his/her job, which also includes LOSECLOS, LOSEMOVE, LOSEOTHR, LOSEREV, LOSESELF, and LOSETAKE.|Employment
LOSEREV|Reasons for losing/leaving job: company had insufficient revenue|Employment|If a respondent lost or left a job (as indicated by DOWNSIZE) since his/her first bachelor's degree, LOSEREV reports whether or not his/her company's insufficient revenue caused the loss of the job.  LOSEREV is among a series of variables regarding the reason for the respondent losing his/her job, which also includes LOSECLOS, LOSEMOVE, LOSEOTHR, LOSEREOR, LOSESELF, and LOSETAKE.|Employment
LOSESELF|Reasons for losing/leaving job: self-operated business ended|Employment|If a respondent lost or left a job (as indicated by DOWNSIZE) since his/her first bachelor's degree, LOSESELF reports whether or not his/her self-owned business end caused the loss of the job.  LOSESELF is among a series of variables regarding the reason for the respondent losing his/her job, which also includes LOSECLOS, LOSEMOVE, LOSEOTHR, LOSEREOR, LOSEREV, and LOSETAKE.|Employment
LOSETAKE|Reasons for losing/leaving job: company taken over|Employment|If a respondent lost or left a job (as indicated by DOWNSIZE) since his/her first bachelor's degree, LOSETAKE reports whether or not the takeover of his/her company caused the loss of the job.  LOSETAKE is among a series of variables regarding the reason for the respondent losing his/her job, which also includes LOSECLOS, LOSEMOVE, LOSEOTHR, LOSEREOR, LOSEREV, and LOSESELF.|Employment
DOWNSIZE|Lost or left job due to employer closing or downsizing|Employment|DOWNSIZE indicates whether the respondent lost or left his/her last job due to an employer closing or downsizing.|Employment
FTPRET|Previously retired|Employment|FTPRET indicates whether or not a respondent, who was working during the reference week, had been retired previously.|Employment
PTRET|Reasons for working part-time: retired|Employment|PTRET indicates whether or not the respondent was working part time because he/she was retired.  The following variables indicate other reasons for working part time: PTFAM, PTILL, PTNOND, PTOCNA, PTOTP, and PTSTU.|Employment
PTWTFT|Working part-time but wanted to work full-time|Employment|PTWTFT indicated whether or not respondents who worked part time actually wanted to be working full time.|Employment
PTFAM|Reasons for working part-time: family|Employment|PTFAM indicates that the respondent worked part-time during the reference week because of family reasons.  The following variables indicate other reasons for working part time: PTILL, PTNOND, PTOCNA, PTOTP, PTRET, and PTSTU.|Employment
PTILL|Reasons for working part-time: illness/disability|Employment|PTILL indicates whether the respondent was working part time during the reference week because of illness or disability.  The following variables indicate other reasons for working part time: PTFAM, PTNOND, PTOCNA, PTOTP, PTRET, and PTSTU.|Employment
PTNOND|Reasons for working part-time: not need/want work|Employment|PTNOND indicates that the respondent worked part time in the reference week because the respondent did not need to or want to work full time.  The following variables indicate other reasons for working part time: PTFAM,  PTILL, PTOCNA, PTOTP, PTRET, and PTSTU.|Employment
PTOCNA|Reasons for working part-time: suitable full-time job not available|Employment|PTOCNA indicates that the respondent worked part time during the reference week because a suitable full-time job was not available at the time.  The following variables indicate other reasons for working part time: PTFAM, PTILL, PTNOND, PTOTP, PTRET, and PTSTU.|Employment
PTOTP|Reasons for working part-time: other|Employment|PTOTP indicates whether there was a reason other than the reasons listed in the questionnaire to explain why the respondent was working part time during the reference week.  The following variables indicate other reasons for working part time: PTFAM, PTILL, PTNOND, PTOCNA, PTRET, and PTSTU.|Employment
PTSTU|Reasons for working part-time: student|Employment|PTSTU indicates whether or not the respondent was working part time because he/she was a student during the reference period.  The following variables indicate other reasons for working part time: PTFAM, PTILL, PTNOND, PTOCNA, PTOTP, and PTRET.|Employment
OCEDRLP|Principal job related to highest degree|Occupation|OCEDRLP describes whether or not the respondent's principal job was related to his/her highest post-secondary degree.|Employment
NOCPR|Job code for principal job|Occupation|NOCPR provides the occupation code of the respondent's principal job. The variable NOCPRMG provides the same information at a more aggregated level.|Employment
NOCPRMG|Job code for principal job (major group)|Occupation|NOCPRMG categorizes the occupation code of the respondent's principal job into seven broad fields. The variable NOCPR provides this information with a finer level of detail.|Employment
OCSEDRL|Relationship of second job to highest degree|Occupation|OCSEDRL describes whether or not the respondent's second job was related to his/her highest post-secondary degree.|Employment
OCSI|Second job during reference week|Occupation|OCSI indicates whether or not the respondent worked a second job in addition to a principal job during the reference week.  The occupation code for this job can be found in the variable OCS.|Employment
OCS|Job code for second job|Occupation|OCS reports the respondent's occupation for his/her second job, if he/she held a second job during the reference week.|Employment
OCSMG|Job code for second job (major group)|Occupation|OCSMG reports the respondent's occupation for his/her second job, if he/she held a second job during the reference week.  OCS is a similar variable that is available for a greater number of samples.|Employment
EMSEC|Employer sector|Employer Characteristics|EMSEC gives the summary level or general version of the sector of the respondent's main employer.|Employment
EMSIZE|Size of employer|Employer Characteristics|EMSIZE describes the size of the respondent's main employer by the number of employees.|Employment
EMBUS|Employer: main business|Employer Characteristics|EMBUS provides the broad business category to which the respondent's main employer belongs.  There are 13 business categories which include agriculture, manufacturing, and health services.|Employment
NEWBUS|Principal employer came into being as a new business within last 5 years|Employer Characteristics|NEWBUS reports whether or not the respondent's principal employer came into being as a new business within the past 5 years.|Employment
EMUS|Employer located in the US|Employer Characteristics|EMUS is a binary variable indicating whether the respondent's employer location being in the US or not.  A more detailed variable providing similar geographic employer region information is EMRG.|Employment
EMRG|US region code for employer|Employer Characteristics|EMRG gives the location of the respondent at the geographic level of US region, and identifies non-US employers.  The regions correspond to US Census region divisions.|Employment
GOVSUP|Federal government support indicator|Employer Characteristics|GOVSUP indicates whether or not the respondent's work was supported by the federal government.  If yes, the respondent was also asked which department or agency supplied the funding.  These answers can be found in a series of variables beginning with FS in the Employment - Other variable category.|Employment
FSAGR|Federal agency supporting work: Agriculture|Employer Characteristics|FSAGR reports whether or not the respondent's work was supported by the US Department of Agriculture.  FSAGR is part of a series of variables that indicate all federal departments and agencies that might have supported the respondent's work.|Employment
FSAID|Federal agency supporting work: AID|Employer Characteristics|FSAID reports whether or not the respondent's work was supported by the US Agency for International Development.  FSAID is part of a series of variables that indicate all federal departments and agencies that might have supported the respondent's work.|Employment
FSCOM|Federal agency supporting work: Commerce|Employer Characteristics|FSCOM reports whether or not the respondent's work was supported by the US Department of Commerce.  FSCOM is part of a series of variables that indicate all federal departments and agencies that might have supported the respondent's work.|Employment
FSDED|Federal agency supporting work: Education|Employer Characteristics|FSDED reports whether or not the respondent's work was supported by the US Department of Education.  FSDED is part of a series of variables that indicate all federal departments and agencies that might have supported the respondent's work.|Employment
FSDK|Federal agency supporting work: Agency unknown|Employer Characteristics|FSDK reports whether or not the respondent knew his/her work was supported by a federal department or agency, but did not know which department or agency.  FSDK is part of a series of variables that indicate all federal departments and agencies that might have supported the respondent's work.|Employment
FSDOD|Federal agency supporting work: Defense|Employer Characteristics|FSDOD reports whether or not the respondent's work was supported by the US Department of Defense.  FSDOD is part of a series of variables that indicate all federal departments and agencies that might have supported the respondent's work.|Employment
FSDOE|Federal agency supporting work: Energy|Employer Characteristics|FSDOE reports whether or not the respondent's work was supported by the US Department of Energy.  FSDOE is part of a series of variables that indicate all federal departments and agencies that might have supported the respondent's work.|Employment
FSDOT|Federal agency supporting work: Transportation|Employer Characteristics|FSDOT reports whether or not the respondent's work was supported by the US Department of Transportation.  FSDOT is part of a series of variables that indicate all federal departments and agencies that might have supported the respondent's work.|Employment
FSEPA|Federal agency supporting work: EPA|Employer Characteristics|FSEPA reports whether or not the respondent's work was supported by the US Environmental Protection Agency.  FSEPA is part of a series of variables that indicate all federal departments and agencies that might have supported the respondent's work.|Employment
FSHHS|Federal agency supporting work: HHS|Employer Characteristics|FSHHS reports whether or not the respondent's work was supported by the US Department of Health and Human Services.  FSHHS is part of a series of variables that indicate all federal departments and agencies that might have supported the respondent's work.|Employment
FSHUD|Federal agency supporting work: HUD|Employer Characteristics|FSHUD reports whether or not the respondent's work was supported by the US Department of Housing and Urban Development.  FSHUD is part of a series of variables that indicate all federal departments and agencies that might have supported the respondent's work.|Employment
FSINT|Federal agency supporting work: Interior|Employer Characteristics|FSINT reports whether or not the respondent's work was supported by the US Department of the Interior.  FSINT is part of a series of variables that indicate all federal departments and agencies that might have supported the respondent's work.|Employment
FSJUS|Federal agency supporting work: Justice|Employer Characteristics|FSJUS reports whether or not the respondent's work was supported by the US Department of Justice.  FSJUS is part of a series of variables that indicate all federal departments and agencies that might have supported the respondent's work.|Employment
FSLAB|Federal agency supporting work: Labor|Employer Characteristics|FSLAB reports whether or not the respondent's work was supported by the US Department of Labor.  FSLAB is part of a series of variables that indicate all federal departments and agencies that might have supported the respondent's work.|Employment
FSNASA|Federal agency supporting work: NASA|Employer Characteristics|FSNASA reports whether or not the respondent's work was supported by the US National Aeronautics and Space Administration (NASA).  FSNASA is part of a series of variables that indicate all federal departments and agencies that might have supported the respondent's work.|Employment
FSNIH|Federal agency supporting work: NIH|Employer Characteristics|FSNIH reports whether or not the respondent's work was supported by the US National Institutes of Health.  FSNIH is part of a series of variables that indicate all federal departments and agencies that might have supported the respondent's work.|Employment
FSNRC|Federal agency supporting work: NRC|Employer Characteristics|FSNRC reports whether or not the respondent's work was supported by the US National Regulatory Commission.  FSNRC is part of a series of variables that indicate all federal departments and agencies that might have supported the respondent's work.|Employment
FSNSF|Federal agency supporting work: NSF|Employer Characteristics|FSNSF reports whether or not the respondent's work was supported by the US National Science Foundation.  FSNSF is part of a series of variables that indicate all federal departments and agencies that might have supported the respondent's work.|Employment
FSOT|Federal agency supporting work: Other|Employer Characteristics|FSOT reports whether or not the respondent's work was supported by a federal agency or department other than the ones listed on the questionnaire.  FSOT is part of a series of variables that indicate all federal departments and agencies that might have supported the respondent's work.|Employment
FSST|Federal agency supporting work: State|Employer Characteristics|FSST reports whether or not the respondent's work was supported by the US State Department.  FSST is part of a series of variables that indicate all federal departments and agencies that might have supported the respondent's work.|Employment
FSVA|Federal agency supporting work: VA|Employer Characteristics|FSVA reports whether or not the respondent's work was supported by the US Department of Veteran Affairs.  FSVA is part of a series of variables that indicate all federal departments and agencies that might have supported the respondent's work.|Employment
WAPRI|Most hours, work activity|Work Activities|WAPRI categorizes the primary work activity the respondent performs during a typical work week in his/her principal job.  Related variables regarding work activities include WAPRSM, WASEC, and WASCSM.|Employment
WAPRSM|Summarized primary work activity|Work Activities|WAPRSM identifies a summary-level version of the respondent's primary work activity during a typical work week in his/her principal job.  Related variables regarding work activities include WAPRI,  WASEC, and WASCSM.|Employment
WASEC|Second most hours, work activity|Work Activities|WASEC categorizes the secondary work activity the respondent performs during a typical work week in his/her principal job.  Related variables regarding work activities include WAPRI, WAPRSM, and WASCSM.|Employment
WASCSM|Summarized secondary work activity|Work Activities|WASCSM identifies a summary-level version of the respondent's secondary work activity during a typical work week in his/her principal job.  Related variables regarding work activities include WAPRI, WASEC, and WAPRSM.|Employment
PRIAREA|Area devoted most hours|Work Activities|PRIAREA describes the topic area where the respondent devoted most of his/her work hours.|Employment
ACTCAP|Activity, computer applications|Work Activities|ACTCAP indicates whether the work activities in the respondent's primary job involves computer applications.  ACTCAP is derived from a question that lists a number of work activities, and the respondent is asked to check a box next to the work activity that occupied at least 10 percent of the respondent's time in a typical work week.  Related variables include ACTDED, ACTMGT, ACTRD, ACTRDT, ACTRES, and ACTTCH.ACTCAP is an NSF recode using information from variables including WACOM.|Employment
ACTDED|Activity, development and design|Work Activities|ACTDED indicates whether the work activities in the respondent's primary job involves development and design.  ACTDED is derived from a question that lists a number of work activities, and the respondent is asked to check a box next to the work activity that occupied at least 10 percent of the respondent's time in a typical work week.  Related variables include ACTCAP, ACTMGT, ACTRD, ACTRDT, ACTRES, and ACTTCH.ACTDED is an NSF recode using information from variables including WADEV and WADSN.|Employment
ACTMGT|Activity, management/sales|Work Activities|ACTMGT indicates whether the work activities in the respondent's primary job involves management and/or sales.  ACTMGT is derived from a question that lists a number of work activities, and the respondent is asked to check a box next to the work activity that occupied at least 10 percent of the respondent's time in a typical work week.  Related variables include ACTCAP, ACTDED, ACTRD, ACTRDT, ACTRES, and ACTTCH.ACTMGT is an NSF recode using information from variables including WAMGMT and WASALE.|Employment
ACTRD|Activity, research and development|Work Activities|ACTRD indicates whether the work activities in the respondent's primary job involves research and development.  ACTRD is derived from a question that lists a number of work activities, and the respondent is asked to check a box next to the work activity that occupied at least 10 percent of the respondent's time in a typical work week.  Related variables include ACTCAP, ACTDED, ACTMGT, ACTRDT, ACTRES, and ACTTCH.ACTRD is an NSF recode using information from variables including WAAPRSH, WABRSH and WADEV.|Employment
ACTRDT|Activity, research, development, and teaching|Work Activities|ACTRDT indicates whether the work activities in the respondent's primary job involves research, development, and teaching.  ACTRDT is derived from a question that lists a number of work activities, and the respondent is asked to check a box next to the work activity that occupied at least 10 percent of the respondent's time in a typical work week.  Related variables include ACTCAP, ACTDED, ACTMGT, ACTRD, ACTRES, and ACTTCH.ACTRDT is an NSF recode using information from variables including WAAPRSH, WABRSH, WADEV and WATEA.|Employment
ACTRES|Activity, research (basic and/or applied)|Work Activities|ACTRES indicates whether the work activities in the respondent's primary job involves basic and/or applied research.  ACTRES is derived from a question that lists a number of work activities, and the respondent is asked to check a box next to the work activity that occupied at least 10 percent of the respondent's time in a typical work week.  Related variables include ACTCAP, ACTDED, ACTMGT, ACTRD, ACTRDT, and ACTTCH.ACTRES is an NSF recode using information from variables including WAAPRSH and WABRSH,.|Employment
ACTTCH|Activity, teaching|Work Activities|ACTTCH indicates whether the work activities in the respondent's primary job involves teaching.  ACTTCH is derived from a question that lists a number of work activities, and the respondent is asked to check a box next to the work activity that occupied at least 10 percent of the respondent's time in a typical work week.  Related variables include ACTCAP, ACTDED, ACTMGT, ACTRD, ACTRDT, and ACTRES.ACTTCH differs from a similar variable WATEA in that ACTTCH is an NSF recode using the same question as WATEA, whereas WATEA is the original response.|Employment
WADEV|Work activities on principal job: development|Work Activities|WADEV indicates whether or not the respondent spent at least ten percent of time in his/her principal job in development during a typical work week.  In the survey, development is defined as using knowledge gained from research for the production of materials or devices.  Other variables regarding work activities include WAACC, WAAPRSH, WABRSH, WACOM, WADSN, WAEMRL, WAMGMT, WAOT, WAPROD, WAQM, WASALE, WASVC, and WATEA.|Employment
WADSN|Work activities on principal job: design|Work Activities|WADSN indicates whether or not the respondent spent at least ten percent of time in his/her principal job in designing equipment, processes, structures, and/or models during a typical work week.  Other variables regarding work activities include WAACC, WAAPRSH, WABRSH, WACOM, WADEV, WAEMRL, WAMGMT, WAOT, WAPROD, WAQM, WASALE, WASVC, and WATEA.|Employment
WAEMRL|Work activities on principal job: employee relations|Work Activities|WAEMRL indicates whether or not the respondent spent at least ten percent of time in his/her principal job in employee relations, including recruiting, personnel development, and training, during a typical work week.  Other variables regarding work activities include WAACC, WAAPRSH, WABRSH, WACOM, WADEV, WADSN, WAMGMT, WAOT, WAPROD, WAQM, WASALE, WASVC, and WATEA.|Employment
WAMGMT|Work activities on principal job: management and administration|Work Activities|WAMGMT indicates whether or not the respondent spent at least ten percent of time in his/her principal job in managing and supervising during a typical work week.  Other variables regarding work activities include WAACC, WAAPRSH, WABRSH, WACOM, WADEV, WADSN, WAMGMT, WAOT, WAPROD, WAQM, WASALE, WASVC, and WATEA.|Employment
WAOT|Work activities on principal job: other|Work Activities|WAOT indicates whether or not the respondent spent at least ten percent of time in his/her principal job in an activity other than the activities listed in the questionnaire during a typical work week.  Other variables regarding work activities include WAACC, WAAPRSH, WABRSH, WACOM, WADEV, WADSN, WAEMRL, WAMGMT, WAPROD, WAQM, WASALE, WASVC, and WATEA.|Employment
WAPROD|Work activities on principal job: production, operations, maintenance|Work Activities|WAPROD indicates whether or not the respondent spent at least ten percent of time in his/her principal job in production, operations, and maintenance during a typical work week.  Other variables regarding work activities include WAACC, WAAPRSH, WABRSH, WACOM, WADEV, WADSN, WAEMRL, WAMGMT, WAOT, WAQM, WASALE, WASVC, and WATEA.|Employment
WAQM|Work activities on principal job: quality or productivity management|Work Activities|WAQM indicates whether or not the respondent spent at least ten percent of time in his/her principal job in quality or productivity management during a typical work week.  Other variables regarding work activities include WAACC, WAAPRSH, WABRSH, WACOM, WADEV, WADSN, WAEMRL, WAMGMT, WAOT, WAPROD, WASALE, WASVC, and WATEA.|Employment
WASALE|Work activities on principal job: sales, purchasing, marketing|Work Activities|WASALE indicates whether or not the respondent spent at least ten percent of time in his/her principal job doing sales, purchasing, marketing, customer service, or public relations during a typical work week.  Other variables regarding work activities include WAACC, WAAPRSH, WABRSH, WACOM, WADEV, WADSN, WAEMRL, WAMGMT, WAOT, WAPROD, WAQM, WASVC, and WATEA.|Employment
WASVC|Work activities on principal job: professional services|Work Activities|WASVC indicates whether or not the respondent spent at least ten percent of time in his/her principal job in professional services, including health care, counseling, legal services, etc, during a typical work week.  Other variables regarding work activities include WAACC, WAAPRSH, WABRSH, WACOM, WADEV, WADSN, WAEMRL, WAMGMT, WAOT, WAPROD, WAQM, WASALE, and WATEA.|Employment
WATEA|Work activities on principal job: teaching|Work Activities|WATEA indicates whether or not the respondent spent at least ten percent of time in his/her principal job teaching during a typical work week.  Other variables regarding work activities include WAACC, WAAPRSH, WABRSH, WACOM, WADEV, WADSN, WAEMRL, WAMGMT, WAOT, WAPROD, WAQM, WASALE, and WASVC.WATEA differs from a similar variable ACTTCH in that WATEA is the original response, whereas ACTTCH is an NSF recode using the same question as WATEA.|Employment
WAACC|Work activities on principal job: accounting, finance, contracts|Work Activities|WAACC indicates whether or not the respondent spent at least ten percent of time in his/her principal job in accounting, finance, or contracts during a typical work week.  Other variables regarding work activities include WAAPRSH, WABRSH, WACOM, WADEV, WADSN, WAEMRL, WAMGMT, WAOT, WAPROD, WAQM, WASALE, WASVC, and WATEA.|Employment
